Date,Jurisdiction,Type,Scope,Division,Notes,Source
2013-09-24,Newfoundland and Labrador,municipal,municipalities,,,http://www.psc-cfp.gc.ca/plac-acpl/leave-conge/ann2-eng.htm
2013-10-21,Alberta,municipal,municipalities,,,http://www.psc-cfp.gc.ca/plac-acpl/leave-conge/ann2-eng.htm
2013-11-03,Quebec,municipal,municipalities,,,http://www.psc-cfp.gc.ca/plac-acpl/leave-conge/ann2-eng.htm
2013-12-09,Northwest Territories,municipal,hamlets,,,http://www.psc-cfp.gc.ca/plac-acpl/leave-conge/ann2-eng.htm
2013-12-09,Nunavut,municipal,hamlets,,,http://www.psc-cfp.gc.ca/plac-acpl/leave-conge/ann2-eng.htm
2014-07-25,Manitoba,municipal,resort villages,,"dunnottar, victoria beach and winnipeg beach",http://www.psc-cfp.gc.ca/plac-acpl/leave-conge/ann2-eng.htm
2014-10-22,Manitoba,municipal,municipalities,,,http://www.psc-cfp.gc.ca/plac-acpl/leave-conge/ann2-eng.htm
2014-10-22,Saskatchewan,municipal,rural municipalities,,,http://www.psc-cfp.gc.ca/plac-acpl/leave-conge/ann2-eng.htm
2014-10-27,Ontario,municipal,municipalities,,,http://www.psc-cfp.gc.ca/plac-acpl/leave-conge/ann2-eng.htm
2014-11-03,Prince Edward Island,municipal,municipalities,,"charlottetown, cornwall, stratford and summerside",http://www.psc-cfp.gc.ca/plac-acpl/leave-conge/ann2-eng.htm
2014-11-15,British Columbia,municipal,municipalities,,,http://www.psc-cfp.gc.ca/plac-acpl/leave-conge/ann2-eng.htm
2014-12-08,Northwest Territories,municipal,hamlets,,,http://www.psc-cfp.gc.ca/plac-acpl/leave-conge/ann2-eng.htm
2014-12-08,Nunavut,municipal,hamlets,,,http://www.psc-cfp.gc.ca/plac-acpl/leave-conge/ann2-eng.htm
2015-10-01,Ontario,general,,,,http://www.psc-cfp.gc.ca/plac-acpl/leave-conge/ann2-eng.htm
2015-10-05,Prince Edward Island,general,,,,http://www.psc-cfp.gc.ca/plac-acpl/leave-conge/ann2-eng.htm
2015-10-05,Northwest Territories,general,,,,http://www.psc-cfp.gc.ca/plac-acpl/leave-conge/ann2-eng.htm
2015-10-06,Manitoba,general,,,,http://www.psc-cfp.gc.ca/plac-acpl/leave-conge/ann2-eng.htm
2015-10-15,Yukon,municipal,municipalities,,,http://www.psc-cfp.gc.ca/plac-acpl/leave-conge/ann2-eng.htm
2015-10-19,Canada,general,,,,http://www.psc-cfp.gc.ca/plac-acpl/leave-conge/ann2-eng.htm
2015-10-19,Northwest Territories,municipal,"cities, towns and villages",,,http://www.psc-cfp.gc.ca/plac-acpl/leave-conge/ann2-eng.htm
2015-10-19,Nunavut,municipal,"cities, towns and villages",,,http://www.psc-cfp.gc.ca/plac-acpl/leave-conge/ann2-eng.htm
2015-11-02,Saskatchewan,general,,,,http://www.psc-cfp.gc.ca/plac-acpl/leave-conge/ann2-eng.htm
2015-11-02,Prince Edward Island,municipal,municipalities,,"except charlottetown, cornwall, stratford and summerside",http://www.psc-cfp.gc.ca/plac-acpl/leave-conge/ann2-eng.htm
2015-12-14,Northwest Territories,municipal,hamlets,,,http://www.psc-cfp.gc.ca/plac-acpl/leave-conge/ann2-eng.htm
2015-12-14,Nunavut,municipal,hamlets,,,http://www.psc-cfp.gc.ca/plac-acpl/leave-conge/ann2-eng.htm
2013-04-15,New Brunswick,by-election,,Kent,,"http://en.wikipedia.org/wiki/Canadian_electoral_calendar,_2013"
2013-05-13,Canada,by-election,,Labrador,,"http://en.wikipedia.org/wiki/Canadian_electoral_calendar,_2013"
2013-05-14,British Columbia,general,,,,"http://en.wikipedia.org/wiki/Canadian_electoral_calendar,_2013"
2013-09-24,Newfoundland and Labrador,municipal,,,,"http://en.wikipedia.org/wiki/Canadian_electoral_calendar,_2013"
2013-10-21,Alberta,municipal,,,,"http://en.wikipedia.org/wiki/Canadian_electoral_calendar,_2013"
2013-10-28,Nunavut,general,,,,"http://en.wikipedia.org/wiki/Canadian_electoral_calendar,_2013"
2013-11-03,Quebec,municipal,,,,"http://en.wikipedia.org/wiki/Canadian_electoral_calendar,_2013"
2013-11-06,Saskatchewan,municipal,even-numbered rural municipalities,,,"http://en.wikipedia.org/wiki/Canadian_electoral_calendar,_2013"
2013-12-02,Nunavut,municipal,hamlets,,,"http://en.wikipedia.org/wiki/Canadian_electoral_calendar,_2013"
2013-10-21,Alberta,municipal,,,,http://www.icurr.org/research/municipal_facts/Elections/index.php
2014-11-15,British Columbia,municipal,,,,http://www.icurr.org/research/municipal_facts/Elections/index.php
2014-10-22,Manitoba,municipal,,,,http://www.icurr.org/research/municipal_facts/Elections/index.php
2016-05-09,New Brunswick,municipal,,,,http://www.icurr.org/research/municipal_facts/Elections/index.php
2013-09-30,Newfoundland and Labrador,municipal,,,,http://www.icurr.org/research/municipal_facts/Elections/index.php
2015-10-16,Northwest Territories,municipal,,,,http://www.icurr.org/research/municipal_facts/Elections/index.php
2013-12-09,Northwest Territories,municipal,hamlets,,,http://www.icurr.org/research/municipal_facts/Elections/index.php
2013-06-10,Northwest Territories,municipal,tlicho community governments,,,http://www.icurr.org/research/municipal_facts/Elections/index.php
2016-10-15,Nova Scotia,municipal,,,,http://www.icurr.org/research/municipal_facts/Elections/index.php
2015-10-19,Nunavut,municipal,,,,http://www.icurr.org/research/municipal_facts/Elections/index.php
2013-12-09,Nunavut,municipal,hamlets,,,http://www.icurr.org/research/municipal_facts/Elections/index.php
2014-10-27,Ontario,municipal,,,,http://www.icurr.org/research/municipal_facts/Elections/index.php
2014-11-03,Prince Edward Island,municipal,,,,http://www.icurr.org/research/municipal_facts/Elections/index.php
2013-11-03,Quebec,municipal,,,,http://www.icurr.org/research/municipal_facts/Elections/index.php
2014-10-22,Saskatchewan,municipal,rural municipalities,,,http://www.icurr.org/research/municipal_facts/Elections/index.php
2012-10-24,Saskatchewan,municipal,cities and (southern) towns and villages,,,http://www.icurr.org/research/municipal_facts/Elections/index.php
2015-10-15,Yukon,municipal,,,,http://www.icurr.org/research/municipal_facts/Elections/index.php
